buy_recency_hours,items_pv_ranking,interest_depth,view_not_buy_rate_y,buy_count_x,item_category,hesitation_buying_rate,total_buy,uv,last7day_pv,peak_view_hour_x,afternoon_active_rate,night_active_rate,users_count,peak_buy_hour_x,last_1day_pv,peak_buy_hour_y,activity_growth_rate,popularity_growth_rate,cart_not_buy_rate_y,cart_count_x,favorite_count_x,buy_recency,last_7day_pv,cart_rate_y,morning_active_rate,cart_not_buy_rate_x
711.0,31820.0,3.4,0.9,2.0,9790,74.3076923076923,13.0,10.0,7.0,0,0.5262116716122651,0.2215628090999011,1172.0,8,8.0,23.0,0.2475,1.0,0.5,2.0,0.0,27.0,400.0,0.0666666666666666,0.2522255192878338,0.9310344827586208
710.0,106254.0,16.0,0.0,1.0,8040,162.06451612903226,31.0,1.0,0.0,9,0.4579014366248409,0.1740316421167485,452.0,9,147.0,21.0,0.3900069396252602,0.0,0.0,1.0,0.0,12.0,1441.0,0.0714285714285714,0.3680669212584106,0.8959276018099548
710.0,106254.0,17.0,0.0,1.0,1329,162.06451612903226,31.0,1.0,0.0,9,0.4579014366248409,0.1740316421167485,71.0,9,147.0,13.0,0.3900069396252602,0.0,0.0,1.0,1.0,12.0,1441.0,0.0714285714285714,0.3680669212584106,0.8959276018099548
708.0,170590.0,3.6666666666666665,0.6666666666666666,1.0,3424,46.84615384615385,13.0,3.0,2.0,20,0.7508038585209004,0.0337620578778135,2424.0,11,0.0,15.0,0.2615384615384615,0.0,0.0,0.0,0.0,34.0,260.0,0.0,0.2154340836012861,0.0
707.0,1163594.0,4.0,0.0,1.0,7590,99.5909090909091,22.0,1.0,0.0,7,0.4359730412805391,0.2792754844144903,681.0,12,108.0,22.0,0.4723404255319149,0.0,0.0,0.0,1.0,2.0,470.0,0.0,0.2847514743049705,0.7857142857142857
707.0,87252.0,6.666666666666667,0.6666666666666666,1.0,7033,17.0,2.0,3.0,0.0,12,0.6052631578947368,0.0,459.0,12,0.0,14.0,0.0,0.0,1.0,1.0,2.0,243.0,0.0,0.0625,0.3947368421052631,0.0
706.0,87252.0,18.0,0.0,1.0,3793,162.06451612903226,31.0,1.0,0.0,13,0.4579014366248409,0.1740316421167485,521.0,13,147.0,14.0,0.3900069396252602,0.0,0.0,1.0,0.0,12.0,1441.0,0.0625,0.3680669212584106,0.8959276018099548
706.0,170590.0,13.0,0.0,1.0,388,162.06451612903226,31.0,1.0,0.0,13,0.4579014366248409,0.1740316421167485,86.0,13,147.0,18.0,0.3900069396252602,0.0,0.0,1.0,1.0,12.0,1441.0,0.1,0.3680669212584106,0.8959276018099548
706.0,57421.0,24.0,0.0,1.0,4153,162.06451612903226,31.0,1.0,0.0,17,0.4579014366248409,0.1740316421167485,342.0,13,147.0,13.0,0.3900069396252602,0.0,0.0,1.0,1.0,12.0,1441.0,0.0476190476190476,0.3680669212584106,0.8959276018099548
704.0,118340.0,5.666666666666667,0.6666666666666666,2.0,12685,64.1304347826087,23.0,3.0,2.0,22,0.3819354838709677,0.3535483870967742,923.0,15,29.0,16.0,0.444,1.0,0.0,2.0,0.0,1.0,250.0,0.1538461538461538,0.2645161290322581,0.3809523809523809
